"env","sim","qs","threads","span","sz","gps"
Ubu,AVX2,15,3,7,34.00,3623.0
Ubu,AVX512,15,3,7,34.00,3601.0
Ubu,Generic,15,4,7,34.00,3986.0
Ubu,AVX,15,4,7,34.00,4320.0
Ubu,AVX2,15,4,7,34.00,4371.0
Ubu,AVX512,26,4,7,34.00,4482.0
Ubu,Generic,26,1,5,24.09,5.1
Ubu,AVX,26,1,5,24.00,20.4
Ubu,AVX2,26,1,5,24.00,19.9
Ubu,AVX512,26,1,5,23.93,33.1
Ubu,Generic,26,2,5,23.95,8.7
Ubu,AVX,26,2,5,23.89,37.8
Ubu,AVX2,26,2,5,23.89,37.4
Ubu,AVX512,26,2,5,23.87,61.0
Ubu,Generic,26,3,5,24.00,11.5
Ubu,AVX,26,3,5,23.92,54.2
Ubu,AVX2,26,3,5,23.89,52.5
Ubu,AVX512,26,3,5,23.88,89.0
Ubu,Generic,26,4,5,23.96,14.1
Ubu,AVX,26,4,5,23.88,61.6
Ubu,AVX2,26,4,5,23.87,61.2
Ubu,AVX512,26,4,5,23.88,99.7
Ubu,Generic,26,1,6,31.00,5.8
Ubu,AVX,26,1,6,31.00,10.2
Ubu,AVX2,26,1,6,31.00,12.2
Ubu,AVX512,26,1,6,31.04,18.2
Ubu,Generic,26,2,6,31.00,10.4
Ubu,AVX,26,2,6,31.00,19.3
Ubu,AVX2,26,2,6,31.00,23.6
Ubu,AVX512,26,2,6,31.02,34.5
Ubu,Generic,26,3,6,31.00,14.3
Ubu,AVX,26,3,6,31.11,26.0
Ubu,AVX2,26,3,6,31.10,32.3
Ubu,AVX512,26,3,6,31.02,45.7
Ubu,Generic,26,4,6,31.04,17.4
Ubu,AVX,26,4,6,31.00,30.5
Ubu,AVX2,26,4,6,31.06,37.2
Ubu,AVX512,26,4,6,31.01,53.0
Ubu,Generic,26,1,7,36.25,3.7
Ubu,AVX,26,1,7,36.25,7.5
Ubu,AVX2,26,1,7,35.91,8.1
Ubu,AVX512,26,1,7,35.94,12.7
Ubu,Generic,26,2,7,36.25,7.0
Ubu,AVX,26,2,7,35.94,12.6
Ubu,AVX2,26,2,7,35.88,14.5
Ubu,AVX512,26,2,7,35.77,22.7
Ubu,Generic,26,3,7,36.25,9.0
Ubu,AVX,26,3,7,36.00,16.7
Ubu,AVX2,26,3,7,35.83,21.4
Ubu,AVX512,26,3,7,35.77,35.0
Ubu,Generic,26,4,7,35.94,12.5
Ubu,AVX,26,4,7,35.89,24.4
Ubu,AVX2,26,4,7,35.91,28.5
Ubu,AVX512,26,4,7,35.88,44.9
