"env","sim","qs","threads","span","sz","gps"
W15b,Generic,26,1,1,1.18,9.5
W15b,AVX,26,1,1,1.18,15.9
W15b,AVX2,26,1,1,1.19,16.6
W15b,Generic,26,2,1,1.19,16.8
W15b,AVX,26,2,1,1.19,28.5
W15b,AVX2,26,2,1,1.18,25.5
W15b,Generic,26,3,1,1.18,18.7
W15b,AVX,26,3,1,1.18,32.9
W15b,AVX2,26,3,1,1.18,34.1
W15b,Generic,26,4,1,1.18,19.7
W15b,AVX,26,4,1,1.18,33.8
W15b,AVX2,26,4,1,1.18,35.9
W15b,Generic,26,1,2,6.20,34.1
W15b,AVX,26,1,2,6.20,72.3
W15b,AVX2,26,1,2,6.20,75.2
W15b,Generic,26,2,2,6.20,62.7
W15b,AVX,26,2,2,6.20,125.6
W15b,AVX2,26,2,2,6.20,127.9
W15b,Generic,26,3,2,6.20,71.8
W15b,AVX,26,3,2,6.20,141.7
W15b,AVX2,26,3,2,6.20,148.6
W15b,Generic,26,4,2,6.20,73.6
W15b,AVX,26,4,2,6.20,146.0
W15b,AVX2,26,4,2,6.20,151.1
W15b,Generic,26,1,3,11.95,17.6
W15b,AVX,26,1,3,11.95,42.3
W15b,AVX2,26,1,3,11.95,59.5
W15b,Generic,26,2,3,11.95,31.9
W15b,AVX,26,2,3,11.93,77.4
W15b,AVX2,26,2,3,11.94,105.5
W15b,Generic,26,3,3,11.96,36.2
W15b,AVX,26,3,3,11.94,76.2
W15b,AVX2,26,3,3,11.93,113.9
W15b,Generic,26,4,3,11.94,38.9
W15b,AVX,26,4,3,11.94,84.2
W15b,AVX2,26,4,3,11.94,120.4
W15b,Generic,26,1,4,18.24,5.6
W15b,AVX,26,1,4,18.26,20.7
W15b,AVX2,26,1,4,18.24,23.8
W15b,Generic,26,2,4,18.26,10.8
W15b,AVX,26,2,4,18.23,36.3
W15b,AVX2,26,2,4,18.26,41.0
W15b,Generic,26,3,4,18.28,13.0
W15b,AVX,26,3,4,18.24,43.0
W15b,AVX2,26,3,4,18.27,49.4
W15b,Generic,26,4,4,18.24,14.4
W15b,AVX,26,4,4,18.27,49.4
W15b,AVX2,26,4,4,18.24,54.9
