"env","sim","qs","threads","span","sz","gps"
W15b,Generic,15,1,1,1.16,17.8
W15b,AVX,15,1,1,1.16,33.9
W15b,AVX2,15,1,1,1.16,37.0
W15b,Generic,15,2,1,1.16,27.6
W15b,AVX,15,2,1,1.16,50.1
W15b,AVX2,15,2,1,1.16,52.5
W15b,Generic,15,3,1,1.16,30.0
W15b,AVX,15,3,1,1.16,54.3
W15b,AVX2,15,3,1,1.16,57.6
W15b,Generic,15,4,1,1.16,29.7
W15b,AVX,15,4,1,1.16,55.4
W15b,AVX2,15,4,1,1.16,58.5
W15b,Generic,15,1,2,6.07,63.9
W15b,AVX,15,1,2,6.07,126.4
W15b,AVX2,15,1,2,6.07,133.9
W15b,Generic,15,2,2,6.07,92.8
W15b,AVX,15,2,2,6.07,146.7
W15b,AVX2,15,2,2,6.07,148.8
W15b,Generic,15,3,2,6.07,83.5
W15b,AVX,15,3,2,6.07,133.7
W15b,AVX2,15,3,2,6.07,139.1
W15b,Generic,15,4,2,6.07,86.0
W15b,AVX,15,4,2,6.07,140.2
W15b,AVX2,15,4,2,6.07,146.7
W15b,Generic,15,1,3,12.14,29.0
W15b,AVX,15,1,3,12.14,61.4
W15b,AVX2,15,1,3,12.14,79.3
W15b,Generic,15,2,3,12.14,44.0
W15b,AVX,15,2,3,12.14,85.5
W15b,AVX2,15,2,3,12.14,93.9
W15b,Generic,15,3,3,12.14,41.8
W15b,AVX,15,3,3,12.14,78.4
W15b,AVX2,15,3,3,12.14,100.9
W15b,Generic,15,4,3,12.14,42.9
W15b,AVX,15,4,3,12.14,77.4
W15b,AVX2,15,4,3,12.14,97.8
W15b,Generic,15,1,4,17.00,8.9
W15b,AVX,15,1,4,17.00,29.6
W15b,AVX2,15,1,4,17.00,33.3
W15b,Generic,15,2,4,17.00,14.8
W15b,AVX,15,2,4,17.00,45.4
W15b,AVX2,15,2,4,17.00,50.6
W15b,Generic,15,3,4,17.00,16.8
W15b,AVX,15,3,4,17.00,46.6
W15b,AVX2,15,3,4,17.00,51.7
W15b,Generic,15,4,4,17.00,18.8
W15b,AVX,15,4,4,17.00,47.6
W15b,AVX2,15,4,4,17.00,51.9
